article_id,header,text,source,city_1,city_2,city_3,lang_1,lang_2,lang_3,role_1,role_2,role_3,perk_1,perk_2,perk_3
16496794,"AutoGravity | Automative FinTech | Irvine, CA | FULL-TIME ONSITE | Senior Web Developer (React)  Posting:   Who We A"," What We Offer: Competitive salary, and industry-leading benefits including: paid health insurance for employee and beneficiaries, unlimited PTO, relocation assistance, company MacBook Pro & iPhone, and $5,000 tuition reimbursement. Technologies You Will Use: React, Redux, Jest, Node, Webpack, Sass, and Sentry. What You'll Be Doing: -- Design and build new features for our Web app to enable delightful user experiences -- Improve our code quality through writing unit tests, automation and performing code reviews -- Share technical solutions and product ideas through design review, pair programming, and tech discussions -- Work seamlessly in an agile environment with product managers and designers to understand end-user requirements, formulate use cases, and implement pragmatic and effective technical solutions",March 2018,,,,,,,,,,Onsite,,
16503289,"Petal | NYC | Hiring Software Engineers (Platform, Infrastructu| Early-Stage | Full-time | $100K-160K + Equity"," We started Petal to give credit to people who deserve it – and made it honest, simple, and accessible. We cut through all the fine print, ditched the fees, and created a credit card that makes your life a little easier. Our founding engineering and product team comes from Square, Addepar, Marcus, and Mint. Stack: Python, Flask, Airflow, React Native, PostgreSQL, Redshift, Docker, Nomad, ELK. - Interview Process: 1. Quick 15-30 minute call to see if we can find a mutual fit. 2. Take home problem 3. Technical phone screen 4. On-site in NYC (white boarding, algorithms, data structures, past project presentation) - Hope to hear from you if this sounds interesting. - Cheers, Jack Arenas Co-Founder & CTO jack@petalcard.com",March 2018,,,,Python,,,,,,,,
16494020,"Ona | Jakarta, Nairobi, New York, Washington DC | Multiple Positions | ONSITE | Full-time |"," We're hiring senior Android and Java engineers for a new Jakarta office focused on building out the OpenSRP frontline healthcare application. We build data management platforms and mobile health applications used globally to improve child and maternal health, governance, agriculture, access to infrastructure, and government accountability. E.g. our software routed patients during the Ebola crisis in West Africa, counted votes during a Libyan election, is surveying national infrastructure in post-earthquake Nepal, and is scheduling vaccines in Bangladesh, Indonesia, Kenya, Pakistan, Zambia, and soon expanding to more countries per our collaboration with the WHO. The stack you'll work with depends on the project, active stacks include: Clojure/Script + Om, Django + PostGIS, Android + CouchDB, React, and a Data engineering stack with NiFi + HDFS + Kafka + Druid + Superset, details here, In a technical interview we'll ask systems architecture questions, then we'll write and extend code together, then we'll describe our culture and see if it would be a good fit. We're currently hiring interaction designers and senior engineers,",March 2018,New York,Jakarta,Nairobi,Java,Clojure,,,,,Onsite,,
16493253,"BeeLine Reader | Software Engineer, INTERNS | Palo Alto or REMOTE"," BeeLine Reader is an Intel-backed company whose software makes reading on-screen easier and faster. We are hiring devs and interns to build out our suite of products, which include web browser plugins, PDF tools, and mobile apps. We are also hiring interns for marketing and design roles. Please submit a resume with a cover letter that shows you have at least taken the time to look at our website and understand our technology (it takes <30 seconds). No agencies/dev shops. Email contact@... more info:",March 2018,,,,,,,,,,Remote,,
16736319,"HackerRank | Developers, sales, CS challenge curation leader | Full-time | Palo Alto, Bangalore & UK"," Our mission at HackerRank is to match every developer to the right job, with the underlying driver being skill vs resumes. We are doing millions of developer assessments every quarter with customers across different industries from internet, banking, retail, automobile, etc. using us for their entire technical recruiting process. What this means is, we are building an interesting data asset on the DNA for a {job role, company} and the DNA for a developer that helps us recommend the right jobs. We are consistently evolving every year to make the matching algorithm better. 1. CS challenge leader: 2. Engineering manager, PA: 3. Full-stack & front-end engineers, PA & BLR You can apply on the website or send me a note: vivek@ Looking forward to building a merit-based world for developer hiring.",April 2018,Bangalore,,,,,,Developer,Front End Developer,,,,
16493421,"Rapid Tender | Junior Frontend Developer | London, UK | Full-time, ONSITE, www.countfire.com (www.rapidte"," If you are a super inquisitive, enthusiastic junior developer with an eye for the frontend, we'd like to speak to you about becoming the 3rd dev on our team. We (Rapid Tender) make software (Countfire) for the construction industry. I know, enterprise software doesn't sound exciting but we do really interesting work. The technology you will learn includes (but is not limited to); js, react, mobx, angular, css, python, flask, sql, postgres and linux. You will be given all the support you need to progress rapidly to an experienced developer. My expectation is that what you're missing in experience, you will make up for in a desire to learn. Email aidan@rapidtender.com for more details (no recruiters please)",March 2018,London,,,Python,SQL,,Developer,Software Developer,,Onsite,,
16760174,"Adobe Photoshop | Junior/Senior C++ developers | San Jose, San Francisco, Seattle, Minneapolis or | Relocation support possible"," The Adobe Photoshop team is looking for Senior and Junior C++ developers. This is a rare opportunity to work on a product that is literally a household name.
In these positions you will be working closely with our product managers to deliver those adobe magic features, features like, content aware fill.
In real terms, you will be writing cross platform C++ (Windows/OS X) to deliver well tested features to millions of customers daily. We are looking for people that have - A solid understanding of C++, you will need to have an understanding of modern(C++14) and the not so modern(C+98). - Demonstrable experience working with customers to deliver features that address their problems - Experience with large code-bases (For the senior role) - Some understanding of HTML/JS/CSS If you are interested in learning more or to apply for the senior positions apply here: For the junior positions please reach out to jsass [at] adobe.com",April 2018,San Francisco,Seattle,,,,,,,,,,
16737314,"CJ Affiliate |   |   | Full Stack | Full-Time | Westlake Village (Los Angeles), CA and Santa Barb| Onsite"," CJ Affiliate is the market leader in affiliate marketing.  We're looking for senior software engineers with Scala, Java, Clojure, Haskell, or JavaScript experience. * We value TDD, pair programming, automation, and dogma-free agile practices * Our codebase is ready to be deployed at any time * Functional programming: Scala, Clojure, Haskell, JavaScript, etc. are big here. * We believe that sustainable development of great products can only be accomplished by continually refining and applying the craft of writing clean code, all in the context of small co-located, product-focused teams. Apply Online: or email me at snazarian@cj.com",April 2018,Los Angeles,,,Java,JavaScript,Scala,,,,Onsite,,
16738114,"ProsperWorks | ( Mobile / Web / Server ) Software Engineer | San Francisco, CA, US | Full-time | ONSITE"," At ProsperWorks, we've built the CRM that sales teams love to use. We integrate
tightly with Gmail and G Suite to give our users up-to-the-minute
data without a lot of manual data entry. We have over 10K paying 
customers, top-tier investors, real revenue and we're growing fast. We're looking for experienced software engineers to join us. You will work
closely with our small cross-functional teams of developers, QA analysts,
product managers and designers. We work steadily, collaboratively and
iteratively to ship software to customers every two weeks. Our server is Ruby on Rails, our web client is Ember and we have native Android
and iOS apps. Like most mid-stage startups, we're in the process of paying down
technical debt as we build a solid foundation to serve us through our ""hockey
stick"" growth. We're committed to automated testing, refactoring and improving
code quality; we want every commit to leave the code a little better than we
found it while shipping compelling new features to our users every sprint. Our careers page: - Mobile Engineer (Android): - Mobile Engineer (iOS): Please mention “HN: Who is hiring?” in your cover letter. Questions? Email me! I’m don at prosperworks.",April 2018,San Francisco,,,Ruby,,,Data Engineer,Software Engineer,,Onsite,,
16535605,Entrepreneur First | Clojure / ClojureScript developer | London | Onsite | EU work VISA required |," Entrepreneur First brings together the world's most ambitious individuals to help them find a co-founder, develop an idea and build a company. You can read why we do this here: <a href=""https://medium.com/entrepreneur-first/tech-entrepreneurship-and-the-disruption-of-ambition-4e6854121992"" rel=""nofollow"">https://medium.com/entrepreneur-first/tech-entrepreneurship-...</a> We're hiring engineers to help us build tech-enabled networks as we scale the company out globally. EF is the best place to work with startups and scale your ambition, apply to join our team now! Apply here:",March 2018,London,,,,,,,,,Onsite,Visa,
16756157,Cloudreach | Multiple Locations in Europe and US - Onsite and | Cloud System Developers | Full Time," We’re growing fast here at Cloudreach, and as such, constantly looking for new talent to join in both Europe, USA and some Remote positions. Cloudreach is a market leader service provider for Cloud Enablement across platforms (AWS Premier Partner, Microsoft Azure Gold Cloud Platform Partner, Google Cloud Platform Partner) and we’ve managed to reach this position thanks to our fundamental core values which are reflected in all us Cloudreachers and the work we do. Below are some of our current roles: <pre><code>  -  Azure Cloud Architect in Dallas, Chicago and Remote US https://www.cloudreach.com/careers/jobs/opening/?gh_jid=665066

  -  Cloud Architect in London https://www.cloudreach.com/careers/jobs/opening/?gh_jid=145943

  -  Cloud Architect in Paris https://www.cloudreach.com/careers/jobs/opening/?gh_jid=699545

  -  Cloud Operations Engineer Lead in Vancouver https://www.cloudreach.com/careers/jobs/opening/?gh_jid=950748

  -  Cloud Project Manager in US https://www.cloudreach.com/careers/jobs/opening/?gh_jid=627338
</code></pre>",April 2018,,,,,,,Cloud Architect,,,Onsite,,
16494258,Pimes.com | 3rd Software Engineer | Bogotá | Remote/Onsite," jobs@pimes.com Mission-Driven, For-Profit, Online Lender to Small and Medium Sized Businesses in Developing Markets. Pimes (formerly Include Capital) accelerates the success of profitable small businesses led by motivated, capable and ethical entrepreneurs in select developing markets by providing access to innovative and comprehensive debt financing.  At the same time, we offer our investors market returns and access to a new asset class. But we have our sights set on much more than lending in developing markets! Our engineering team aims to be humble (i.e. no jerks) and disciplined, considering ideas, testing them (sometimes in production), and moving fast. As the third engineer you'll be expected to do it all: architecture, data modeling, frontend, product and UI design, even deploy ML models. Our Stack: AWS, Lambda, Django, Python, Java, frontend is custom design with jquery (dont worry, its clean, considering React for some apps), Docker, Fabric, CircleCI, DynamoDB, CI/CD, Segment IO for data pipeline. jobs@pimes.com",March 2018,Bogotá,,,Java,Python,,Data Engineer,,,Onsite,Remote,
16738501,"Stacktical | Blockchain Engineer & Smart Contract Developer | Worldwide, Paris, Tokyo | REMOTE, FULL TIME,"," Do you want to build the future of performance failure, outage and downtime compensation with us? We're excited to welcome a Smart Contract Developer to the Stacktical team to further accelerate the development of our decentralised service level management platform on the Blockchain. Our ambition? Better align the interests of all application stakeholders in performance and non-performance situations, using more efficient, more inclusive and fairer Service Level Agreements (SLA) that don't need lawyers. To achieve just that, our Decentralized SLA token, dubbed ""DSLA"", is designed to compensate users upon service levels violations while rewarding providers for their ability to maintain great service levels. While we understand the emerging nature of the field and are open to considering creative ways to achieve our objectives, we're seeking someone with hands-on experience with Solidity Smart Contract development and administration on the Ethereum Blockchain platform, ideally through a combination of the Zeppelin framework, Oracles and the truffle tool. To apply, please contact us at founders+me@stacktical.com with the subject “Working at Stacktical”! For more information about the DSLA Token Generation Event please join us on Telegram at Many thanks for taking the time to consider this position. Keywords: Service Level Agreement, SLA, SLO, Quality of Service, QoS, Compensation, Blockchain, Cryptocurrency, Ethereum, Solidity, Truffle, Oracles, Smart Contracts, Bitcoin, Litecoin, DSLA, Stacktical, Microservices, Javascript, Python, R, Predictive Analytics, Machine Learning, AI, DevOps, Capacity Planning, Scalability, Performance, Load Testing",April 2018,Tokyo,Paris,,Python,JavaScript,,Application Developer,Developer,,Remote,,
16493214,"Apple, Inc. | Cupertino"," -- Siri -- 
Apple’s Siri is looking for exceptional engineers, designers, and project managers well versed in machine learning, natural language, speech recognition, server automation, and/or mobile software development. Siri is used on countless iOS, tvOS and watchOS devices and handles over a billion requests per week. If you’re passionate about Music, Natural Language Processing, implementing UX features, or one of a variety of our open positions, you’ll be right at home! We have also begun expanding our team in Ottawa, Canada! Apply online or send a resume to brittanyd@apple.com. -- Security Engineering -- 
Apple’s Security Engineering and Architecture group is looking for senior security engineers and DevOps specialists to help us build systems that protect 
customers with leading privacy and security technologies. Successful candidates will be generalists capable of tackling challenging engineering problems anywhere in the stack, from the kernel and firmware to cloud services and applications. Apply online or send a resume to nectar@apple.com.",March 2018,,,,,,,,,,,,
16735389,"Second Measure (YC S15) | SF Bay Area - San Mateo, CA (downtown) | ONSITE/REMOTE |"," ---- Second Measure analyzes billions of credit card transactions to answer real-time questions about consumer behavior. Through our self-service analytics platform, we help our clients – some of the world’s largest brands and investment firms – answer questions like: <pre><code>  - Is Lyft gaining or losing market share in NYC? [1]
  - What's going on in the meal-kit space? [2]
  - How dependent is Stitch Fix on its biggest spenders? [3]
  - (Check out our research blog [3])
</code></pre> We’re looking for other strong builders, especially those who can grow into leadership roles: <pre><code>  - Lead Infrastructure Engineer
  - Senior Software Engineer (backend/frontend/data) - REMOTE OK
  - Senior Product Designer
  - Senior Data Scientist
  - (more)
</code></pre> [1] [2] [3] [4]",April 2018,,,,,,,Data Engineer,Data Scientist,Senior Software Engineer,Onsite,Remote,
16736100,Invitae | San Francisco | Full-time | Remote-friendly (must be able to work legally in ," We offer prescription-grade genetic testing and are aiming to make genetics a part of mainstream, medical practice. This year we're transitioning from seeing ourselves as a diagnostics company to seeing ourselves as a tech company and are hiring for a variety of roles: -Full-stack software engineer
-UI/UX engineer
-Software quality engineer
-Machine Learning engineer
-Bioinformatics engineer
-Tech Evangelist
-Research Scientist More details: We have several different groups that use a variety of languages and technologies. React, AWS, and Python are some of the popular ones. We have a great, dynamic culture where employees have ownership and are empowered to make decisions (very little middle management). E-mail me at sutee.dee[at]invitae.com (I'm an engineer)",April 2018,San Francisco,,,Python,,,Software Engineer,,,Remote,,
16735025,"PlanGrid (YCW12) | San Francisco | Full-time, On-Site | Visa"," We’re building software that is changing the construction process (think GitHub for construction). Our users love our app because it helps them build real things more efficiently. By joining our team you can influence product decisions and work on interesting technical challenges (our client apps work with GBs of blueprints and metadata). Our engineering teams are small; whatever team you work on, you'll have a chance to have a big impact. We’re hiring across all of our engineering teams: Android, Web, iOS, Windows, Backend (Python). You can see our job postings and apply here: As an example, here's a detailed post about what working on the iOS team looks like:",April 2018,San Francisco,,,Python,,,,,,Visa,,
16737141,"Citizen | Senior Engineers (iOS / Front End / Mobile / Eng | Full-time | New York, NY | 125k - 165k | ONSITE | citizen.com"," Citizen is a Series A startup, backed by Sequoia Capital and Founders Fund, located on Grand St. in New York. Info about Citizen What we do: Our vision is to protect people by keeping them informed of all crimes happening near them in real time, using a variety of sources correlated with their location and concerns. We have a host of challenges we are working on like mobile video streaming, tuning distributed systems to support bursting from 100 to over 200k active users, and digital signal processing just to start. While a young startup, we're already growing quickly in NYC with 3% of the city already downloaded our app. We have expanded service to San Fransico, with more cities to come in the months to come. Our Stack: Kubernetes on GCP, MySQL, Redis, Kafka, Firebase, Go, Node, React.js, Swift (iOS), Java (Android) Four of our Open Roles: Senior iOS Engineer - Lead Mobile Engineer - Senior Backend Engineer - Senior Frontend Engineer - If you would like to learn more about one of Citizen's open roles, feel free to reach out to me directly - Stephen Fleming at stephen(at)citizen.com Note:
Citizen offers a competitive benefits package including medical, dental, vision, flexible spending accounts, paid time off, company holidays, stock option plan, commuter benefits, and various wellness perks.",April 2018,New York,,,Java,Swift,Go,,,,Onsite,,
16497507,"PSPDFKit | REMOTE | Full-time | JavaScript, React, Elixir"," PSPDFKit is the leading SDK for working with PDF files on Android, iOS and Web. We're trusted by Dropbox, Box and many Fortune 500 companies to take care of these tricky yet essential parts in their Android and iOS apps. PSPDFKit for Web is our youngest product - you can see it in action here: Last year we released PSPDFKit for Web Standalone, which works completely in the browser, using WebAssembly: If you're interested in working for a fully bootstrapped company, with a team all over the globe, that iterates quickly and uses a modern, pragmatic tech stack, then check out our job ad:",March 2018,,,,,,,,,,Remote,,
16497434,"Kleiner Perkins | Engineer in Residence | San Francisco, CA | Full-time"," Kleiner Perkins, the VC firm behind many of the biggest startups in Silicon Valley, is looking for an Engineer in Residence to help build internal web apps and data pipelines. The role is a one or two year commitment best suited for Senior Software Engineers who plan to go on to build their own company or for those looking to join one of our fast-growing portfolio companies. More details:",March 2018,San Francisco,,,Go,,,Data Engineer,Senior Software Engineer,Software Engineer,,,
16746718,"Jaza | Software Engineer | Halifax, Canada | Full Time | Onsite"," Jaza is building the future of infrastructure in Africa. This is an opportunity to become a founding member of the software engineering team at Jaza, and build solutions for some of the greatest challenges facing the continent and the world: climate change and energy access. Jaza builds energy access in last-mile communities. Using a solar powered Hub model, we sell customers access to portable battery packs that they can bring home to power lights and devices. We train and hire local women to run the Hubs, which includes managing the energy system and interfacing with customers. We are on the lookout for well rounded software engineers to join our engineering team in Halifax. We need people that enjoy learning new technologies and tackling big challenges. We are a small and fast moving engineering team in Halifax that supports a much bigger (and rapidly growing) operation in Africa. You will contribute to the development of tools and products that the Jaza ecosystem uses to manage and interact with a growing fleet of distributed energy systems. Apply here:",April 2018,,,,,,,,,,Onsite,,
16494417,"Recursion Pharmaceuticals | SLC, Utah | Onsite, full-time We just closed our $60M series "," We’re looking for: * Data Scientists/ML researchers: Looking for highly experienced senior/principal-level data scientists and machine learning researchers who want a challenging problem, lots of rich data, and knowledge that their breakthroughs will seriously help people. No bio background needed. * Biologists, computational biologists, automation scientists, and drug discovery experts. <a href=""http://www.recursionpharma.com/careers"" rel=""nofollow"">http://www.recursionpharma.com/careers</a> Logistics: Salt Lake City, Utah. Hiking/running/biking is literally out our back door, and it's half an hour to 5 ski resorts. Great pay, health insurance, 401k, relocation assistance (onsite is required), equity, a top-caliber team, and help make a massively positive impact. Happy to sponsor/extend visas, but you need to already be authorized to work in the US--we can’t handle the lottery at this stage. Tech: Data science: python scientific stack (pandas, numpy, scikit-learn, matplotlib, bokeh, etc). Software engineering: go, python, angular.js, react, javascript on aws and gce. Deep learning (e.g. convolutional networks) we're mainly using the python frameworks (keras, theano, tensorflow, etc). Our team of 78 so far:",March 2018,,,,Python,JavaScript,Go,,,,Onsite,,
16493630,The Children's Hospital of Philadelphia | Arcus Data Platform Engineer | Philadelphia PA | ONSITE Please visit:," The Children’s Hospital of Philadelphia (CHOP) Research Institute is recruiting a new team to build a data and informatics program called “Arcus” that will link clinical and biological data and provide world-class computational tools to solve the most challenging problems in child health. Recognizing the central role of data to the future of pediatric research, CHOP leadership and the Board of Trustees committed to a funding plan, and Arcus was launched in July 2017. The Arcus team integrates with major scientific initiatives in the Research Institute Strategic Plan: Lifespan, Rare Diseases, Novel Devices and Therapeutics, and Precision Health. We seek mission-oriented professionals with interest and expertise in the areas of biomedical science, library science, data education, data science, cloud computing, data privacy, and security. This role will work on a small team focused on architecting and implementing a cloud-native “data platform” to support the goals of Arcus. We are looking for highly creative people who share our mission to advance child health and who will thrive in a continuous learning environment, acquiring and applying both new technical skills and biomedical domain knowledge. More info about CHOP and our work: <i></i>",March 2018,Philadelphia,,,,,,,,,Onsite,,
16494654,| Extrajurisdictional | REMOTE | Monero Security Analyst & Engineer | Contract Work," PinkDate is an extrajurisdictional company that will dramatically improve the escorting [sex work] industry. We depend on privacy and anonymity tech, including Monero [XMR]. Monero has lofty goals and powerful privacy claims that fall short in actual operation. As an example: All network communications are unencrypted which allows a passive adversary to easily de-anonymize many transactions. Instead: Monero should be encrypted and easily integrate with Tor to hide user activity. Contract 1: We desire an engineer to contribute to the Monero open source project. This includes adding encryption between nodes, reducing wallet metadata leakage, and integrating Tor into both the client [easy] and the node software [more challenging]. Contract 2: We need someone to write a simulator and improve blockchain explorer tools to determine how well Monero's privacy claims truly hold up. To-date there is no public research on fundamental aspect of Monero. We want to be able to have answers to the questions of how private a user becomes when using Monero. How often must a user send money to themselves [churn] to effectively hide among X users? We want to make proposals to change the Monero network parameters to improve privacy and have the evidence to make the case. All work will be published openly and you can take the credit with a note that PinkDate is the sponsor. You should be comfortable engaging with community and defending design decisions and research. Note: PinkDate is an extrajurisdictional company and pays contractors in cryptocurrencies as a transfer mechanism. We price contracts in USD. If you like the idea of working on an underground project: We often have contracts or positions available in legal, security, [counter]intelligence, devops and general software engineering. Drop me a line: brad@pinkdate.is",March 2018,,,,,,,Network Engineer,Software Engineer,,Remote,,
16493713,Lendable | Senior Software Engineers | London | Full Time | Onsite | Salary: £60k-£80k |," Join Lendable - the UK's fastest growing lending platform. We're a small team of high performers who have built outstanding tech to deliver real innovation in Fintech in the form of automated lending. Well-funded (£400M+) and profitable after only three years. We are on the lookout for talented software engineers and data scientists to help us get further, faster. Software development and data science are at the heart of what we do and lead all our business decisions. You'll be working directly with our CTO co-founder building our platform and internal tools. Challenging project, no boring CMS work, real application development. Experience with Symfony 3 and PHP 7 is required. Perks include: Annual company sponsored working vacation abroad (last year we went to Tuscany), hardware of your choice, regular team events, weekly company lunch, weekly yoga classes, loft office in Shoreditch Apply: email livia@lendable.co.uk",March 2018,London,,,PHP,,,,,,Onsite,,
16585001,Frontend Developer With Vue.js Skills | Full time | Copenhagen | Onsite (preferred) or Remote," <a href=""https://thehub.dk/jobs/frontend-developer-with-vuejs-skills-for-rising-copenhagen-startup"" rel=""nofollow"">https://thehub.dk/jobs/frontend-developer-with-vuejs-skills-...</a> Backend Laravel Developer | Full time | Copenhagen | Onsite (preferred) or Remote <a href=""https://thehub.dk/jobs/backend-laravel-developer-for-rising-copenhagen-startup"" rel=""nofollow"">https://thehub.dk/jobs/backend-laravel-developer-for-rising-...</a> Join Worksome [ We expect that you have relevant experience working with backend in webbased apps. You may be a senior with years of professional work experience or you may be a junior with a couple of your own cool projects to show off. Worksome is a platform for highly skilled freelance talents within IT, Digital marketing, Design, Leadership, Engineering, Management and a long tail of niche skills in various fields. We’re the new digital hub for professional freelancers and consultants. We launched 12 months ago and now have 3500+ selected freelance professionals and 1800 companies using the platform. We’re consistently growing double-digit every month and have recently secured funding. Apply via the links above or contact hanspeter@worksome.dk",March 2018,,,,,,,Developer,,,Onsite,Remote,
